Query	Hit	PairwiseID	AlignmentLength	e-value	score
UG30334.c6f28s77|oct12.P2.MID43.HWSTXOD02C7WKY.HiQual|UG30334|Uganda_Kanungu	var1.HB3var1csa	91.24	354	2.00E-126	442
UG30334.c6f28s77|oct12.P2.MID43.HWSTXOD02C7WKY.HiQual|UG30334|Uganda_Kanungu	var1.AF547159	91.53	59	4.00E-16	75.8
UG30800.c61f5s7|oct12.P1.MID59.HWSTXOD01B2XAZ.HiQual|UG30800|Uganda_Kanungu	var1.HB3var1csa	91.23	57	6.00E-15	71.9
UG30639.c18f8s13|oct12.P1.MID53.HWSTXOD01CFELY.HiQual|UG30639|Uganda_Kanungu	var1.HB3var1csa	100	344	0	682
UG30639.c18f8s13|oct12.P1.MID53.HWSTXOD01CFELY.HiQual|UG30639|Uganda_Kanungu	var1.IGHvar11	88.45	355	1.00E-102	363
UG30639.c18f8s13|oct12.P1.MID53.HWSTXOD01CFELY.HiQual|UG30639|Uganda_Kanungu	var1.DD2var25	87.89	355	6.00E-98	347
UG30639.c18f8s13|oct12.P1.MID53.HWSTXOD01CFELY.HiQual|UG30639|Uganda_Kanungu	var1.AJ420411	87.89	355	6.00E-98	347
UG30639.c18f8s13|oct12.P1.MID53.HWSTXOD01CFELY.HiQual|UG30639|Uganda_Kanungu	var1.AF547159	91.53	59	4.00E-16	75.8
G3st32.c34f3s4|sep11.P4.MID21.G9JXQ6K04I3YQI_rc|G3st32|FrenchGuyana_TroisSauts	var1.IGHvar11	90.96	354	9.00E-125	436
G3st32.c34f3s4|sep11.P4.MID21.G9JXQ6K04I3YQI_rc|G3st32|FrenchGuyana_TroisSauts	var1.DD2var25	90.99	355	9.00E-125	436
G3st32.c34f3s4|sep11.P4.MID21.G9JXQ6K04I3YQI_rc|G3st32|FrenchGuyana_TroisSauts	var1.AJ420411	90.99	355	9.00E-125	436
G3st32.c34f3s4|sep11.P4.MID21.G9JXQ6K04I3YQI_rc|G3st32|FrenchGuyana_TroisSauts	var1.HB3var1csa	83.8	358	6.00E-61	224
Gc43.c72f5s6|sep11.P2.MID6.G9JXQ6K02EH2FW|Gc43|FrenchGuyana_Camopi	var1.AF547159	99.4	332	3.00E-174	601
Gc43.c72f5s6|sep11.P2.MID6.G9JXQ6K02EH2FW|Gc43|FrenchGuyana_Camopi	var1.HB3var1csa	91.53	59	4.00E-16	75.8
Gc43.c72f5s6|sep11.P2.MID6.G9JXQ6K02EH2FW|Gc43|FrenchGuyana_Camopi	var1.IGHvar11	95.45	44	5.00E-15	71.9
Gc43.c72f5s6|sep11.P2.MID6.G9JXQ6K02EH2FW|Gc43|FrenchGuyana_Camopi	var1.DD2var25	93.18	44	1.00E-12	63.9
Gc43.c72f5s6|sep11.P2.MID6.G9JXQ6K02EH2FW|Gc43|FrenchGuyana_Camopi	var1.AJ420411	93.18	44	1.00E-12	63.9
