****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Parallel execution requested.  Will use 20 threads.
Cross-validation will be performed.  Folds=5.
Random seed: 12345
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 1127x6988
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 2.884	Loglikelihood: -531523	(delta): 1.14901e+07
72 (QN/Block) 	Elapsed: 6.345	Loglikelihood: -395429	(delta): 4.68971
73 (QN/Block) 	Elapsed: 6.323	Loglikelihood: -395419	(delta): 10.0828
74 (QN/Block) 	Elapsed: 6.422	Loglikelihood: -395408	(delta): 10.8199
75 (QN/Block) 	Elapsed: 6.284	Loglikelihood: -395404	(delta): 4.28876
76 (QN/Block) 	Elapsed: 6.396	Loglikelihood: -395399	(delta): 5.18934
77 (QN/Block) 	Elapsed: 6.395	Loglikelihood: -395393	(delta): 5.64034
78 (QN/Block) 	Elapsed: 6.382	Loglikelihood: -395390	(delta): 3.71228
79 (QN/Block) 	Elapsed: 6.528	Loglikelihood: -395388	(delta): 1.20189
80 (QN/Block) 	Elapsed: 6.496	Loglikelihood: -395386	(delta): 2.26596
81 (QN/Block) 	Elapsed: 6.451	Loglikelihood: -395381	(delta): 4.96925
82 (QN/Block) 	Elapsed: 6.415	Loglikelihood: -395377	(delta): 3.6205
83 (QN/Block) 	Elapsed: 6.483	Loglikelihood: -395376	(delta): 1.06494
84 (QN/Block) 	Elapsed: 6.624	Loglikelihood: -395375	(delta): 1.03322
85 (QN/Block) 	Elapsed: 6.705	Loglikelihood: -395374	(delta): 1.2044
86 (QN/Block) 	Elapsed: 6.737	Loglikelihood: -395374	(delta): 0.432452
87 (QN/Block) 	Elapsed: 6.514	Loglikelihood: -395373	(delta): 0.792506
88 (QN/Block) 	Elapsed: 6.619	Loglikelihood: -395371	(delta): 1.87289
89 (QN/Block) 	Elapsed: 6.482	Loglikelihood: -395370	(delta): 1.05844
90 (QN/Block) 	Elapsed: 6.43	Loglikelihood: -395369	(delta): 0.538099
91 (QN/Block) 	Elapsed: 6.466	Loglikelihood: -395369	(delta): 0.751834
92 (QN/Block) 	Elapsed: 6.5	Loglikelihood: -395363	(delta): 5.43869
93 (QN/Block) 	Elapsed: 6.752	Loglikelihood: -395358	(delta): 5.63325
94 (QN/Block) 	Elapsed: 6.411	Loglikelihood: -395350	(delta): 7.68149
95 (QN/Block) 	Elapsed: 6.369	Loglikelihood: -395346	(delta): 4.03221
96 (QN/Block) 	Elapsed: 6.313	Loglikelihood: -395342	(delta): 4.12467
97 (QN/Block) 	Elapsed: 6.345	Loglikelihood: -395336	(delta): 5.4578
98 (QN/Block) 	Elapsed: 6.612	Loglikelihood: -395332	(delta): 4.74544
99 (QN/Block) 	Elapsed: 6.586	Loglikelihood: -395328	(delta): 3.93586
100 (QN/Block) 	Elapsed: 6.624	Loglikelihood: -395326	(delta): 1.82077
101 (QN/Block) 	Elapsed: 6.75	Loglikelihood: -395323	(delta): 3.26065
102 (QN/Block) 	Elapsed: 6.636	Loglikelihood: -395318	(delta): 5.08178
103 (QN/Block) 	Elapsed: 6.727	Loglikelihood: -395313	(delta): 4.43217
104 (QN/Block) 	Elapsed: 6.533	Loglikelihood: -395308	(delta): 5.3817
105 (QN/Block) 	Elapsed: 6.698	Loglikelihood: -395301	(delta): 6.9945
106 (QN/Block) 	Elapsed: 6.742	Loglikelihood: -395291	(delta): 9.40281
107 (QN/Block) 	Elapsed: 6.558	Loglikelihood: -395283	(delta): 8.04296
108 (QN/Block) 	Elapsed: 6.45	Loglikelihood: -395271	(delta): 12.0303
109 (QN/Block) 	Elapsed: 6.573	Loglikelihood: -395247	(delta): 24.6826
110 (QN/Block) 	Elapsed: 6.445	Loglikelihood: -395220	(delta): 26.0777
111 (QN/Block) 	Elapsed: 6.534	Loglikelihood: -395196	(delta): 23.9748
112 (QN/Block) 	Elapsed: 6.579	Loglikelihood: -395167	(delta): 29.5897
113 (QN/Block) 	Elapsed: 6.454	Loglikelihood: -395157	(delta): 9.75763
114 (QN/Block) 	Elapsed: 6.672	Loglikelihood: -395147	(delta): 9.83775
115 (QN/Block) 	Elapsed: 6.567	Loglikelihood: -395133	(delta): 14.0157
116 (QN/Block) 	Elapsed: 6.616	Loglikelihood: -395112	(delta): 20.9507
117 (QN/Block) 	Elapsed: 6.401	Loglikelihood: -395090	(delta): 21.8326
118 (QN/Block) 	Elapsed: 6.574	Loglikelihood: -395065	(delta): 25.7956
119 (QN/Block) 	Elapsed: 6.52	Loglikelihood: -395043	(delta): 21.7695
120 (QN/Block) 	Elapsed: 6.542	Loglikelihood: -395014	(delta): 29.0778
121 (QN/Block) 	Elapsed: 6.396	Loglikelihood: -394974	(delta): 39.8566
122 (QN/Block) 	Elapsed: 6.642	Loglikelihood: -394940	(delta): 33.6324
123 (QN/Block) 	Elapsed: 6.62	Loglikelihood: -394914	(delta): 26.3221
124 (QN/Block) 	Elapsed: 6.697	Loglikelihood: -394860	(delta): 53.6909
125 (QN/Block) 	Elapsed: 6.685	Loglikelihood: -394783	(delta): 76.9217
126 (QN/Block) 	Elapsed: 6.496	Loglikelihood: -394667	(delta): 116.85
127 (QN/Block) 	Elapsed: 6.625	Loglikelihood: -394571	(delta): 95.9907
128 (QN/Block) 	Elapsed: 6.556	Loglikelihood: -394471	(delta): 99.7951
129 (QN/Block) 	Elapsed: 6.725	Loglikelihood: -394405	(delta): 65.6403
130 (QN/Block) 	Elapsed: 6.566	Loglikelihood: -394342	(delta): 62.8757
131 (QN/Block) 	Elapsed: 6.493	Loglikelihood: -394286	(delta): 55.982
132 (QN/Block) 	Elapsed: 6.577	Loglikelihood: -394253	(delta): 32.8415
133 (QN/Block) 	Elapsed: 6.753	Loglikelihood: -394236	(delta): 17.9047
134 (QN/Block) 	Elapsed: 6.696	Loglikelihood: -394211	(delta): 24.4864
135 (QN/Block) 	Elapsed: 6.567	Loglikelihood: -394183	(delta): 28.5292
136 (QN/Block) 	Elapsed: 6.542	Loglikelihood: -394171	(delta): 11.3263
137 (QN/Block) 	Elapsed: 6.522	Loglikelihood: -394165	(delta): 5.90964
138 (QN/Block) 	Elapsed: 6.456	Loglikelihood: -394157	(delta): 8.74812
139 (QN/Block) 	Elapsed: 6.61	Loglikelihood: -394145	(delta): 11.0733
140 (QN/Block) 	Elapsed: 6.497	Loglikelihood: -394127	(delta): 18.0269
141 (QN/Block) 	Elapsed: 6.585	Loglikelihood: -394111	(delta): 16.7273
142 (QN/Block) 	Elapsed: 6.6	Loglikelihood: -394107	(delta): 3.8822
143 (QN/Block) 	Elapsed: 6.713	Loglikelihood: -394102	(delta): 4.8125
144 (QN/Block) 	Elapsed: 6.799	Loglikelihood: -394096	(delta): 5.55754
145 (QN/Block) 	Elapsed: 6.599	Loglikelihood: -394091	(delta): 5.21073
146 (QN/Block) 	Elapsed: 6.661	Loglikelihood: -394090	(delta): 1.74143
147 (QN/Block) 	Elapsed: 6.379	Loglikelihood: -394088	(delta): 1.98676
148 (QN/Block) 	Elapsed: 6.512	Loglikelihood: -394086	(delta): 1.50318
149 (QN/Block) 	Elapsed: 6.369	Loglikelihood: -394085	(delta): 0.779079
150 (QN/Block) 	Elapsed: 6.503	Loglikelihood: -394085	(delta): 0.462235
151 (QN/Block) 	Elapsed: 6.511	Loglikelihood: -394085	(delta): 0.181493
152 (QN/Block) 	Elapsed: 6.456	Loglikelihood: -394084	(delta): 0.259781
153 (QN/Block) 	Elapsed: 6.57	Loglikelihood: -394084	(delta): 0.781294
154 (QN/Block) 	Elapsed: 6.532	Loglikelihood: -394081	(delta): 2.44029
155 (QN/Block) 	Elapsed: 6.603	Loglikelihood: -394077	(delta): 3.68487
156 (QN/Block) 	Elapsed: 6.499	Loglikelihood: -394074	(delta): 3.03701
157 (QN/Block) 	Elapsed: 6.332	Loglikelihood: -394073	(delta): 1.5271
158 (QN/Block) 	Elapsed: 6.441	Loglikelihood: -394071	(delta): 2.052
159 (QN/Block) 	Elapsed: 6.399	Loglikelihood: -394069	(delta): 1.58882
160 (QN/Block) 	Elapsed: 6.495	Loglikelihood: -394068	(delta): 1.41689
161 (QN/Block) 	Elapsed: 6.402	Loglikelihood: -394066	(delta): 1.97461
162 (QN/Block) 	Elapsed: 6.166	Loglikelihood: -394065	(delta): 1.30756
163 (QN/Block) 	Elapsed: 6.362	Loglikelihood: -394063	(delta): 1.09696
164 (QN/Block) 	Elapsed: 6.349	Loglikelihood: -394061	(delta): 2.30282
165 (QN/Block) 	Elapsed: 6.498	Loglikelihood: -394058	(delta): 3.54901
166 (QN/Block) 	Elapsed: 6.537	Loglikelihood: -394056	(delta): 1.67002
167 (QN/Block) 	Elapsed: 6.406	Loglikelihood: -394051	(delta): 4.53925
168 (QN/Block) 	Elapsed: 6.539	Loglikelihood: -394050	(delta): 1.25698
169 (QN/Block) 	Elapsed: 6.356	Loglikelihood: -394050	(delta): 0.370501
170 (QN/Block) 	Elapsed: 6.369	Loglikelihood: -394050	(delta): 0.246782
171 (QN/Block) 	Elapsed: 6.635	Loglikelihood: -394049	(delta): 0.400746
172 (QN/Block) 	Elapsed: 6.497	Loglikelihood: -394049	(delta): 0.257027
173 (QN/Block) 	Elapsed: 6.611	Loglikelihood: -394049	(delta): 0.16502
174 (QN/Block) 	Elapsed: 6.454	Loglikelihood: -394048	(delta): 0.267585
175 (QN/Block) 	Elapsed: 6.463	Loglikelihood: -394047	(delta): 0.985739
176 (QN/Block) 	Elapsed: 6.575	Loglikelihood: -394046	(delta): 1.82393
177 (QN/Block) 	Elapsed: 6.472	Loglikelihood: -394044	(delta): 1.45288
178 (QN/Block) 	Elapsed: 6.422	Loglikelihood: -394044	(delta): 0.140589
179 (QN/Block) 	Elapsed: 6.529	Loglikelihood: -394044	(delta): 0.192497
180 (QN/Block) 	Elapsed: 6.399	Loglikelihood: -394044	(delta): 0.278153
181 (QN/Block) 	Elapsed: 6.449	Loglikelihood: -394043	(delta): 0.525416
182 (QN/Block) 	Elapsed: 6.559	Loglikelihood: -394043	(delta): 0.451736
183 (QN/Block) 	Elapsed: 6.444	Loglikelihood: -394042	(delta): 0.915156
184 (QN/Block) 	Elapsed: 6.399	Loglikelihood: -394040	(delta): 1.38628
185 (QN/Block) 	Elapsed: 6.09	Loglikelihood: -394040	(delta): 0.251016
186 (QN/Block) 	Elapsed: 6.213	Loglikelihood: -394040	(delta): 0.120988
187 (QN/Block) 	Elapsed: 6.296	Loglikelihood: -394040	(delta): 0.0419122
188 (QN/Block) 	Elapsed: 6.298	Loglikelihood: -394040	(delta): 0.0194793
189 (QN/Block) 	Elapsed: 6.283	Loglikelihood: -394040	(delta): 0.0505287
190 (QN/Block) 	Elapsed: 6.483	Loglikelihood: -394039	(delta): 0.30499
191 (QN/Block) 	Elapsed: 6.423	Loglikelihood: -394039	(delta): 0.226039
192 (QN/Block) 	Elapsed: 6.623	Loglikelihood: -394039	(delta): 0.00477916
193 (QN/Block) 	Elapsed: 6.411	Loglikelihood: -394039	(delta): 0.00885127
194 (QN/Block) 	Elapsed: 6.459	Loglikelihood: -394039	(delta): 0.0510417
195 (QN/Block) 	Elapsed: 6.313	Loglikelihood: -394039	(delta): 0.359272
196 (QN/Block) 	Elapsed: 6.338	Loglikelihood: -394037	(delta): 2.01786
197 (QN/Block) 	Elapsed: 6.344	Loglikelihood: -394036	(delta): 0.967607
198 (QN/Block) 	Elapsed: 6.356	Loglikelihood: -394036	(delta): 0.136411
199 (QN/Block) 	Elapsed: 6.55	Loglikelihood: -394036	(delta): 0.0514151
200 (QN/Block) 	Elapsed: 6.329	Loglikelihood: -394036	(delta): 0.0971322
201 (QN/Block) 	Elapsed: 6.158	Loglikelihood: -394035	(delta): 0.245133
202 (QN/Block) 	Elapsed: 6.412	Loglikelihood: -394035	(delta): 0.355822
203 (QN/Block) 	Elapsed: 6.449	Loglikelihood: -394035	(delta): 0.0915479
204 (QN/Block) 	Elapsed: 6.488	Loglikelihood: -394035	(delta): 0.0206692
205 (QN/Block) 	Elapsed: 6.371	Loglikelihood: -394035	(delta): 0.0105988
206 (QN/Block) 	Elapsed: 6.437	Loglikelihood: -394035	(delta): 0.0121803
207 (QN/Block) 	Elapsed: 6.423	Loglikelihood: -394035	(delta): 0.00887873
208 (QN/Block) 	Elapsed: 6.29	Loglikelihood: -394035	(delta): 0.00101763
209 (QN/Block) 	Elapsed: 6.318	Loglikelihood: -394035	(delta): 0.00333657
210 (QN/Block) 	Elapsed: 6.42	Loglikelihood: -394035	(delta): 0.00244744
211 (QN/Block) 	Elapsed: 6.564	Loglikelihood: -394035	(delta): 0.00316649
212 (QN/Block) 	Elapsed: 6.425	Loglikelihood: -394035	(delta): 0.00328715
213 (QN/Block) 	Elapsed: 6.331	Loglikelihood: -394035	(delta): 0.00334919
214 (QN/Block) 	Elapsed: 6.36	Loglikelihood: -394035	(delta): 0.001496
215 (QN/Block) 	Elapsed: 6.442	Loglikelihood: -394035	(delta): 0.000469341
216 (QN/Block) 	Elapsed: 6.283	Loglikelihood: -394035	(delta): 0.00010693
217 (QN/Block) 	Elapsed: 6.383	Loglikelihood: -394035	(delta): 8.82602e-05
Summary: 
Converged in 217 iterations (1420.34 sec)
Loglikelihood: -394034.788247
Fst divergences between estimated populations: 
	Pop0	Pop1	Pop2	Pop3	
Pop0	
Pop1	0.019	
Pop2	0.056	0.087	
Pop3	0.015	0.026	0.053	
Pop4	0.014	0.031	0.055	0.018	
CV error (K=5): 0.04850
Writing output files.
